"id","userId","role","content","processedAt","summarizedAt","createdAt","updatedAt"
15,1,user,Привет,2026-04-21 02:27:56.739 +0300,2026-04-21 02:28:40.954 +0300,2026-04-21 02:27:49.729 +0300,2026-04-21 02:28:40.959 +0300
16,1,assistant,"Привет. Сегодня у тебя тренировка на грудь, плечи и трицепс. Помочь с чем-то конкретным?",,2026-04-21 02:28:40.954 +0300,2026-04-21 02:27:58.470 +0300,2026-04-21 02:28:40.959 +0300
17,1,user,Так она уже была,2026-04-21 02:28:14.874 +0300,2026-04-21 02:28:40.954 +0300,2026-04-21 02:28:07.868 +0300,2026-04-21 02:28:40.959 +0300
18,1,assistant,"Сегодня планируем тренировку на грудь, плечи и трицепс. Что нужно?",,2026-04-21 02:28:40.954 +0300,2026-04-21 02:28:17.285 +0300,2026-04-21 02:28:40.959 +0300
19,1,user,Так она уже была же,2026-04-21 02:28:35.736 +0300,2026-04-21 02:28:40.954 +0300,2026-04-21 02:28:28.730 +0300,2026-04-21 02:28:40.959 +0300
20,1,assistant,Сегодня в планах грудь и руки. Чем помочь?,,,2026-04-21 02:28:37.246 +0300,2026-04-21 02:28:37.246 +0300
21,1,user,Проверь сегодняшнюю тренировку,2026-04-21 02:29:26.003 +0300,,2026-04-21 02:29:18.995 +0300,2026-04-21 02:29:30.922 +0300
22,1,assistant,"Сегодня ты завершил тренировку на грудь, плечи и трицепс:

• <b>Грудь - Гантели (гориз)</b>: 20×12 RIR 5, 22×12 RIR 2, 26×8 RIR 2, 26×8 RIR 2
• <b>Грудь - Бабочка</b>: 40×12 RIR 6, 60×12 RIR 2, 70×8 RIR 2
• <b>Трицепс - канаты (вниз)</b>: 15×12 RIR 6, 20×12 RIR 3, 25×6 RIR 2, 20×7 RIR 2

Тренировка прошла нормально, но есть момент с падением повторов на жиме гантелями — не спеши с увеличением веса, стабилизируй повторы на 12×4 с тем же весом в следующих сессиях.

Что-нибудь ещё по этой тренировке нужно?",,,2026-04-21 02:29:30.917 +0300,2026-04-21 02:29:30.917 +0300
23,1,user,"Да, сориентируй по оптимальному времени отдыха между подходами и между упражнениями",2026-04-21 02:33:19.863 +0300,,2026-04-21 02:33:12.858 +0300,2026-04-21 02:33:23.018 +0300
24,1,assistant,"Для сегодняшней тренировки советую такие интервалы отдыха:

• <b>Грудь - Гантели (гориз)</b>, <b>Грудь - Бабочка</b>, <b>Плечи - разводка (ган)</b>: 60–90 секунд между подходами.
• <b>Трицепс - канаты (вниз)</b>: 60 секунд между подходами.

Между упражнениями можешь отдыхать около 2–3 минут. Это позволит полноценно восстановиться и сохранить интенсивность тренировки.",,,2026-04-21 02:33:23.011 +0300,2026-04-21 02:33:23.011 +0300
25,1,user,"Спал сегодня 6 часов, не выспался, пропустить тренировку лучше ?",2026-04-21 09:43:48.188 +0300,,2026-04-21 09:43:41.183 +0300,2026-04-21 09:43:52.081 +0300
26,1,assistant,"Сегодня по плану:

- Спина - подтягивания (кос)×4
- Спина - тяга блока (гориз)×4
- Бицепс - гантели (стоя)×3

Разделим время отдыха:

- Между подходами для подтягиваний и тяги блока: 2–3 минуты для максимального восстановления.
- Между подходами для бицепса: 60–90 секунд.
- Между упражнениями: 3–4 минуты.

По поводу недосыпа: тренировка возможна, но важно следить за чувством усталости. Если почувствуешь явное снижение энергии или мотивации, прислушайся к телу и, возможно, сделай только лёгкие упражнения или сократи объем.

Как чувствуешь сейчас — готов попробовать или стоит перенести?",,,2026-04-21 09:43:52.076 +0300,2026-04-21 09:43:52.076 +0300
